path,audit_status
.github/workflows/validate-screenplay.yml,CONTROL_HOSTED_CI_PASS
.github/workflows/validate.yml,CONTROL_HOSTED_CI_PASS
.gitignore,PASS_STATIC
CHANGELOG.md,RECONCILED_0_25_0
CONTRIBUTING.md,PASS_STATIC
NEW_CHAT_HANDOVER.md,REFRESHED_CURRENT_HANDOVER
README.md,REFRESHED_CURRENT_STATE
RIGHTS_AND_PERMISSIONS.md,OPEN_OWNER_DECISION
STATUS.md,REFRESHED_CURRENT_STATE
docs/01-vision/01_vision_and_research_foundation.md,PASS_STATIC
docs/02-literary-analysis/02_literary_analysis.md,PASS_STATIC
docs/03-historical-world/03C_maritime_trade_and_ships.md,PASS_STATIC
docs/03-historical-world/03D_costume_textiles_and_personal_ornament.md,PASS_STATIC
docs/03-historical-world/03E_religious_communities_and_philosophical_schools.md,PASS_STATIC
docs/03-historical-world/03F_food_hunger_famine_and_amudhasurabhi.md,PASS_STATIC
docs/03-historical-world/03G_geography_travel_routes_and_manipallavam.md,PASS_STATIC
docs/03-historical-world/03H_architecture_water_systems_and_urban_infrastructure.md,PASS_STATIC
docs/03-historical-world/03I_economy_labour_trade_guilds_and_material_culture.md,PASS_STATIC
docs/03-historical-world/03J_kingship_law_justice_and_state_power.md,PASS_STATIC
docs/03-historical-world/03K_women_gender_desire_and_agency.md,PASS_STATIC
docs/03-historical-world/03_historical_tamilakam.md,PASS_STATIC
docs/03-historical-world/puhar/03A_puhar_city_dossier.md,PASS_STATIC
docs/03-historical-world/puhar/03B_indra_festival_source_dossier.md,PASS_STATIC
docs/04-characters/04A_manimekalai_character_bible.md,PASS_STATIC
docs/04-characters/04B_madhavi_character_bible.md,PASS_STATIC
docs/04-characters/04C_sudhamathi_character_bible.md,PASS_STATIC
docs/04-characters/04D_udayakumaran_character_bible.md,REPAIRED_CROSSWALK
docs/04-characters/04D_udayakumaran_decision_crosswalk_errata.md,REPAIRED_CROSSWALK
docs/04-characters/04E_aravana_adigal_character_bible.md,PASS_STATIC
docs/04-characters/04F_chitrapathi_character_bible.md,PASS_STATIC
docs/04-characters/04G_rajamadevi_character_bible.md,PASS_STATIC
docs/04-characters/04H_aputhiran_character_bible.md,PASS_STATIC
docs/04-characters/04I_kanchanan_character_bible.md,PASS_STATIC
docs/04-characters/04J_punniyarajan_character_bible.md,PASS_STATIC
docs/04-characters/04K_aadhirai_character_bible.md,REPAIRED
docs/04-characters/README.md,REPAIRED
docs/05-philosophy/05A_philosophical_map.md,PASS_STATIC
docs/05-philosophy/05B_knowledge_and_debate.md,PASS_STATIC
docs/05-philosophy/05C_ethics_hunger_liberation.md,PASS_STATIC
docs/05-philosophy/05D_philosophical_schools_deep_dive.md,PASS_STATIC
docs/05-philosophy/05E_manimekalai_intellectual_journey.md,PASS_STATIC
docs/05-philosophy/05F_philosophy_to_screen_matrix.csv,PASS_STATIC
docs/05-philosophy/README.md,PASS_WITH_ARCHIVAL_NEXT_PHASE
docs/06-adaptation-decisions/03H_architecture_decisions.csv,PASS_STATIC
docs/06-adaptation-decisions/03I_economy_decisions.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_03J_kingship.csv,REPAIRED
docs/06-adaptation-decisions/decision_log_03K_gender_agency.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04A_manimekalai.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04B_madhavi.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04C_sudhamathi.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04D_udayakumaran.csv,REPAIRED_EXECUTED_PASS
docs/06-adaptation-decisions/decision_log_04E_aravana_adigal.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04F_chitrapathi.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04G_rajamadevi.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04H_aputhiran.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04I_kanchanan.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04J_punniyarajan.csv,PASS_STATIC
docs/06-adaptation-decisions/decision_log_04K_aadhirai.csv,PASS_STATIC
docs/06-adaptation-decisions/geography_decision_log.csv,PASS_STATIC
docs/07-screenplay-evidence-matrix/03H_architecture_scenes.csv,PASS_STATIC
docs/07-screenplay-evidence-matrix/03I_economy_scenes.csv,PASS_STATIC
docs/07-screenplay-evidence-matrix/character_spine_04A_manimekalai.csv,PASS_STATIC
docs/07-screenplay-evidence-matrix/geography_scene_matrix.csv,PASS_STATIC
docs/07-screenplay-evidence-matrix/screenplay_evidence_matrix.csv,PASS_STATIC
docs/07-screenplay-evidence-matrix/screenplay_evidence_matrix_03J_kingship.csv,REPAIRED
